koufuzei_11	県４表　幅員別異動状況調	調書名=幅員別異動状況調
koufuzei_12	道路明細表	調書名=道路明細表
koufuzei_13	橋梁明細表	調書名=橋梁明細表
koufuzei_14	道路橋梁調書（異動調書）２葉の１	調書名=道路橋梁調書（異動調書）２葉の１
koufuzei_15	道路橋梁調書（異動調書）２葉の２	調書名=道路橋梁調書（異動調書）２葉の２
koufuzei_16	道路基礎数値台帳１　ブロック	調書名=道路基礎数値台帳１ブロック
koufuzei_17	道路基礎数値台帳２　ブロック	調書名=道路基礎数値台帳２ブロック
koufuzei_18	橋梁基礎数値台帳　ブロック	調書名=橋梁基礎数値台帳ブロック
koufuzei_19	道路基礎数値台帳１－道路種別整理番号順	調書名=道路基礎数値台帳１－道路種別整理番号順
koufuzei_20	道路基礎数値台帳２－道路種別整理番号順	調書名=道路基礎数値台帳２－道路種別整理番号順
koufuzei_21	道路橋梁調書（異動調書）２葉の１東北	調書名=道路橋梁調書（異動調書）２葉の１東北
koufuzei_22	道路橋梁調書（異動調書）２葉の２東北	調書名=道路橋梁調書（異動調書）２葉の２東北
koufuzei_23	道路橋梁調書　ブロック	調書名=道路橋梁調書ブロック
koufuzei_24	道路橋梁調書　岩手県仕様	調書名=道路橋梁調書岩手県仕様
koufuzei_25	道路橋梁調書　岩手県仕様ブロック	調書名=道路橋梁調書岩手県仕様ブロック
koufuzei_26	道路橋梁調書　道路種別整理番号順	調書名=道路橋梁調書－道路種別整理番号順
koufuzei_27	道路橋梁調書　米沢仕様	調書名=道路橋梁調書米沢仕様
koufuzei_28	道路橋梁調書　米沢仕様ブロック	調書名=道路橋梁調書米沢仕様ブロック
koufuzeisantei_01	交付税算定において増減すべき数値	調書名=交付税算定において増減すべき数値
koufuzeisantei_02	交付税算定において～Ｃｍ単位	調書名=交付税算定において増減すべき数値Ｃｍ単位
koufuzeisantei_03	交付税算定において～岩手県仕様	調書名=交付税算定において増減すべき数値岩手県仕様
koufuzeisantei_04	交付税算定において～岩手県仕様Ｃｍ単位	調書名=交付税算定において増減すべき数値岩手県仕様Ｃｍ単位
koufuzeisantei_05	交付税算定において～岩泉仕様	調書名=交付税算定において増減すべき数値岩泉仕様
koufuzeisantei_06	交付税算定において～岩泉仕様Ｃｍ単位	調書名=交付税算定において増減すべき数値岩泉仕様Ｃｍ単位
kuikihenko_01	区域変更調書	調書名=区域変更調書
kyoryo_01	橋梁基礎数値台帳	調書名=橋梁基礎数値台帳
kyoryo_02	道路台帳第４表（橋調書）	調書名=道路台帳第４表（橋調書）
kyoryo_03	第５号様式（橋梁）	調書名=道路施設現況調査第５号様式（橋梁）
kyoryo_04	第５＿２号様式（橋梁）	調書名=道路施設現況調査第５＿２号様式（橋梁）
kyoryo_05	橋梁明細表	調書名=橋梁明細表
kyoryo_06	橋梁基礎数値台帳ブロック	調書名=橋梁基礎数値台帳ブロック
meisaihyo_01	道路明細表	調書名=道路明細表
naganoken_01	市町村道路現況更新表　長野県仕様	調書名=市町村道路現況更新表長野県仕様
nagasaki_01	長崎県　橋りょう基礎数値増減表	調書名=長崎県橋りょう基礎数値増減表
nagasaki_02	長崎県　地方交付税橋りょう台帳	調書名=長崎県地方交付税橋りょう台帳
nagasaki_03	長崎県　地方交付税道路台帳	調書名=長崎県地方交付税道路台帳
nagasaki_04	長崎県　道路基礎数値増減表	調書名=長崎県道路基礎数値増減表
nintei_01	路線認定調書	調書名=路線認定調書
nintei_02	道路種別別	調書名=路線認定調書－道路種別別
nintei_03	ブロック番号別	調書名=路線認定調書－ブロック番号別
nintei_04	平均幅員	調書名=路線認定調書（平均幅員）
